1,jan-06,57.24,25.43,20.79,5.26,2.39,3.18,91.10,35.56,0.87,0.04,6.71,2.29
2,fev-06,15.49,10.47,14.56,16.03,18.28,2.17,6.23,4.52,5.09,0.83,3.30,0.48
3,mar-06,17.40,10.44,14.94,6.84,2.30,2.28,6.54,7.06,6.20,9.69,12.83,0.72
4,abr-06,32.85,11.52,9.76,2.83,1.59,3.25,62.10,4.14,1.71,3.12,5.63,0.55
5,mai-06,14.80,12.18,10.21,6.60,0.80,3.31,8.05,6.22,5.89,3.64,4.39,1.07
6,jun-06,15.50,7.90,10.92,2.74,0.00,3.22,8.39,5.96,2.48,0.24,1.44,1.09
7,jul-06,46.80,14.48,14.92,11.12,0.00,7.27,84.12,4.56,4.55,1.28,3.89,3.02
8,ago-06,21.06,8.74,10.78,5.64,0.00,4.28,5.78,6.09,25.38,3.87,1.61,0.90
9,set-06,16.07,7.08,6.52,3.29,0.00,5.74,5.41,5.66,2.11,1.24,2.63,0.88
10,out-06,46.47,10.34,9.88,4.93,0.00,9.06,73.19,5.47,4.10,2.00,1.76,0.62
11,nov-06,19.08,7.50,10.54,4.58,0.00,8.18,5.63,9.53,5.70,1.44,1.05,1.51
12,dez-06,21.25,9.38,10.93,6.69,0.00,7.60,4.90,7.84,1.75,1.17,1.56,1.60
13,jan-07,46.53,21.41,17.78,12.88,0.00,16.11,62.77,67.55,3.06,2.52,3.08,5.86
14,fev-07,13.81,6.22,7.59,6.59,0.00,6.52,4.64,4.66,3.32,0.82,0.45,1.06
15,mar-07,22.58,9.91,10.25,8.65,0.00,11.68,7.50,7.42,4.26,1.76,1.85,3.08
16,abr-07,37.00,8.28,13.67,9.42,0.00,14.60,49.66,5.53,3.00,3.27,2.40,1.81
17,mai-07,26.34,8.96,20.22,17.72,0.00,16.13,7.66,7.94,32.42,4.98,3.64,2.44
18,jun-07,15.32,5.10,9.45,10.37,0.00,8.74,5.86,6.20,4.60,2.88,1.65,3.28
19,jul-07,32.49,8.69,12.30,7.53,0.00,8.60,65.90,7.50,4.63,5.03,3.70,13.43
20,ago-07,20.16,12.76,12.24,16.18,0.00,9.76,10.55,8.70,9.42,9.11,1.30,8.03
21,set-07,13.82,8.11,9.35,8.17,0.00,5.88,5.89,5.25,2.86,1.94,2.30,3.74
22,out-07,26.13,8.46,9.85,7.96,0.00,5.77,48.57,5.07,4.31,2.47,1.50,2.94
23,nov-07,13.47,5.13,7.74,5.68,0.00,6.02,11.00,10.43,8.96,3.93,0.61,5.23
24,dez-07,15.70,6.80,9.16,6.32,0.00,7.52,6.50,4.48,3.42,1.48,0.44,2.57
25,jan-08,48.28,16.27,25.60,14.73,0.00,23.55,88.37,6.21,3.45,5.13,2.94,48.57
26,fev-08,20.05,11.65,16.56,10.73,0.00,11.64,5.19,6.19,6.85,2.13,0.65,1.68
27,mar-08,28.06,12.41,19.68,12.04,0.00,17.03,5.75,5.38,3.32,1.81,1.36,2.47
28,abr-08,47.07,17.29,21.59,9.32,0.00,13.11,45.41,3.93,4.66,3.22,16.17,4.66
29,mai-08,35.15,10.92,24.34,13.32,0.00,13.33,12.20,6.89,10.70,3.21,0.54,6.76
30,jun-08,20.36,7.64,15.17,4.07,0.00,4.88,10.78,44.95,5.29,2.52,0.57,5.40
31,jul-08,58.60,34.48,62.41,12.60,0.00,14.92,85.29,7.06,4.86,3.25,2.62,16.13
32,ago-08,32.26,19.78,43.33,8.03,0.00,11.53,8.40,7.16,58.40,4.89,0.78,3.15
33,set-08,34.96,24.54,29.15,11.48,0.00,14.57,9.45,5.86,7.18,6.09,2.05,6.25
34,out-08,65.63,49.70,65.28,32.06,0.00,46.42,38.05,14.54,9.99,6.24,1.84,5.94
35,nov-08,38.07,23.79,50.29,24.50,0.00,43.36,7.12,6.72,13.37,1.79,0.22,2.83
36,dez-08,43.28,26.96,40.67,21.01,0.00,28.84,6.83,8.16,4.56,3.26,0.30,6.40
37,jan-09,69.98,31.74,38.98,22.55,0.00,30.37,129.42,8.26,4.85,3.43,2.79,26.32
38,fev-09,23.04,16.86,23.92,16.51,0.00,21.39,4.60,6.86,16.71,3.85,0.88,4.45
39,mar-09,40.07,40.79,33.85,34.31,0.00,30.00,9.78,104.71,5.91,3.80,1.29,6.06
40,abr-09,35.54,17.66,25.80,24.92,0.00,27.77,33.85,10.17,5.82,6.49,1.18,5.78
41,mai-09,29.67,13.49,41.33,37.77,0.00,28.24,10.91,9.12,78.29,4.65,0.37,6.90
42,jun-09,27.58,11.37,23.99,27.61,0.00,20.81,10.30,11.85,8.82,5.90,0.10,5.98
43,jul-09,46.92,15.67,29.78,24.06,0.00,34.31,110.32,11.56,12.71,5.74,3.11,30.89
44,ago-09,21.06,9.73,22.11,16.85,0.00,22.73,8.29,10.12,19.46,5.65,2.24,8.41
45,set-09,24.25,7.05,22.79,16.21,0.00,23.86,8.98,10.17,9.02,7.27,1.48,7.49
46,out-09,63.60,12.93,25.23,17.55,0.00,22.38,122.38,14.13,11.20,16.35,1.03,9.97
47,nov-09,24.09,9.87,18.39,16.32,0.00,20.65,5.23,6.85,22.70,4.34,0.47,5.41
48,dez-09,40.05,15.40,24.51,22.45,0.00,23.83,10.05,9.55,6.86,6.67,0.31,5.91
49,jan-10,100.70,19.72,33.92,26.65,0.00,31.70,161.23,9.43,7.27,6.51,2.47,82.75
50,fev-10,33.30,16.38,23.89,22.18,0.00,18.63,6.16,6.34,18.49,5.06,0.29,7.30
51,mar-10,56.72,34.06,41.57,46.76,0.00,23.81,6.29,87.48,10.28,4.29,1.54,11.39
52,abr-10,45.34,22.54,34.06,36.51,0.00,14.17,8.82,10.38,10.45,7.41,0.79,8.88
53,mai-10,56.06,25.10,39.17,35.41,0.00,13.90,12.70,8.23,24.77,12.88,0.15,11.02
54,jun-10,47.72,21.27,38.98,27.44,0.00,11.08,7.66,9.83,6.94,4.87,0.13,5.22
55,jul-10,112.69,34.06,55.46,45.16,0.00,20.45,186.81,9.46,8.90,12.64,2.46,77.84
56,ago-10,90.65,28.35,67.87,54.99,0.00,17.68,8.73,7.51,198.42,7.55,0.75,11.03
57,set-10,58.36,15.96,29.81,39.22,0.00,10.41,14.51,18.14,12.31,8.79,1.23,10.45
58,out-10,53.86,15.79,29.78,34.94,0.00,15.81,9.64,10.99,6.94,8.07,0.86,3.98
59,nov-10,65.56,17.70,36.52,54.79,0.00,17.48,10.48,8.91,23.87,4.14,0.09,5.84
60,dez-10,74.64,22.05,46.99,54.58,0.00,15.27,13.41,10.50,10.62,9.53,0.44,5.82
61,jan-11,181.85,36.16,54.11,72.54,0.00,15.60,196.45,8.05,6.48,7.13,2.74,69.35
62,fev-11,92.39,31.98,57.72,47.59,0.00,11.78,17.79,9.94,6.71,24.71,0.44,6.83
63,mar-11,122.46,46.37,59.87,77.83,0.00,10.71,16.45,42.74,7.74,7.84,29.33,7.00
64,abr-11,91.25,37.17,62.14,74.71,0.00,8.95,19.21,7.92,10.14,8.67,0.87,7.37
65,mai-11,101.54,42.83,97.52,107.65,0.00,11.37,15.96,10.05,170.09,11.05,0.07,5.23
